id,category,question,answerable,expected_answer,expected_evidence,no_rag_answer,no_rag_time,rag_answer,retrieved_chunk_ids,retrieved_distances,retrieval_time,generation_time,total_time
q11,multi_document,"What is asyncio used for, and what new asyncio feature introduced in Python 3.11 helps manage a group of tasks?",True,"asyncio is used for concurrent asynchronous code using async/await. Python 3.11 added TaskGroup, an asynchronous context manager that holds a group of tasks and waits for them when it exits.","[{""version"": ""py311"", ""source"": ""library/asyncio.html"", ""chunk_id"": ""py311_library_asyncio_000""}, {""version"": ""py311"", ""source"": ""whatsnew/3.11.html"", ""chunk_id"": ""py311_whatsnew_3.11_011""}]","**asyncio** is Python’s standard library for writing single‑threaded concurrent code using **asynchronous I/O**. It lets you define `async` functions (coroutines) that can pause while waiting for I/O (network, disk, subprocesses, etc.) and let other coroutines run, enabling high‑performance networking servers, clients, and other I/O‑bound programs without the complexity of threads.

**New in Python 3.11:** the **`asyncio.TaskGroup`** class.  
`TaskGroup` provides a structured‑concurrency context manager that automatically creates, tracks, and cleanly shuts down a collection of tasks, propagating exceptions and ensuring all tasks finish before the group exits. This makes it easier to manage multiple concurrent tasks as a single logical unit.",2.123,I don't have enough information in the provided context to answer this.,"[""py312_whatsnew_3.12_015"", ""py311_library_asyncio_000"", ""py312_library_asyncio_000""]","[0.3182, 0.3426, 0.3426]",0.029,15.488,17.64
q12,multi_document,How does Python 3.11's new exception functionality combine the ability to group errors with the ability to add information to an exception?,True,Python 3.11 introduced ExceptionGroup for raising multiple exceptions together and added add_note() so additional information can be attached to an exception and shown in its traceback.,"[{""version"": ""py311"", ""source"": ""whatsnew/3.11.html"", ""chunk_id"": ""py311_whatsnew_3.11_002""}, {""version"": ""py311"", ""source"": ""tutorial/errors.html"", ""chunk_id"": ""py311_tutorial_errors_012""}]","Python 3.11 introduced two complementary enhancements to the exception hierarchy:

| Feature | What it adds | How it is used |
|---------|--------------|----------------|
| **Exception groups** (PEP 654) | A new `ExceptionGroup` type that can hold many exceptions and the `except*` clause to handle them individually. | `raise ExceptionGroup(""multiple failures"", [exc1, exc2, …])` |
| **Exception notes** (PEP 678) | A `BaseException.add_note()` method that stores arbitrary strings on an exception object. The notes are displayed when the traceback is printed. | `exc.add_note(""additional context"")` |

### Combining the two

*Each exception inside an `ExceptionGroup` is a normal `BaseException` subclass, so it can receive notes.*  
You can also attach notes to the **group object itself**. This gives you:

1. **Grouped error handling** – you can catch and process each failure separately with `except*`.
2. **Rich per‑error context** – each individual exception can carry its own explanatory notes.
3. **Group‑level context** – the group can have notes that apply to the whole batch of failures (e.g., “operation performed on 3 files”).

#### Example

```python
def read_file(path):
    try:
        with open(path) as f:
            return f.read()
    except OSError as exc:
        exc.add_note(f""while reading {path!r}"")
        raise

paths = [""a.txt"", ""b.txt"", ""c.txt""]
errors = []

for p in paths:
    try:
        read_file(p)
    except OSError as exc:
        errors.append(exc)

if errors:
    eg = ExceptionGroup(""Failed to read some files"", errors)
    eg.add_note(""Batch read operation"")
    raise eg
```

When this `ExceptionGroup` is printed you’ll see something like:

```
ExceptionGroup: Failed to read some files
  ├─ OSError: [Errno 2] No such file or directory: 'b.txt'
  │   └─ Note: while reading 'b.txt'
  └─ OSError: [Errno 2] No such file or directory: 'c.txt'
      └─ Note: while reading 'c.txt'
Note: Batch read operation
```

Thus, Python 3.11 lets you **group multiple failures** while still **attaching arbitrary diagnostic notes** to each failure (and to the group as a whole), giving a much clearer picture of what went wrong.",5.444,"Python 3.11 adds two complementary features:

* **Exception groups** – the new built‑in types `ExceptionGroup` and `BaseExceptionGroup` let a program raise several unrelated exceptions together and handle them with the new `except*` syntax (PEP 654)【py311_whatsnew_3.11_002】.  
* **Exception notes** – `BaseException.add_note()` lets code attach arbitrary strings to an exception after it has been caught; those notes are displayed in the traceback (PEP 678)【py311_tutorial_errors_012】.

Because the objects stored inside an `ExceptionGroup` must be **instances** of exceptions (not exception classes), you can first catch individual errors, call `e.add_note(...)` on each one to enrich it with context, collect those enriched instances in a list, and then raise a single `ExceptionGroup` containing them. When the group is printed, each member’s notes appear in its traceback, giving both grouped error handling and per‑error additional information.","[""py311_whatsnew_3.11_002"", ""py311_tutorial_errors_012"", ""py312_tutorial_errors_012""]","[0.2774, 0.2814, 0.2814]",0.021,14.795,20.26
q13,multi_document,"What changed in Python 3.11 for pathlib globbing, and where is that behavior documented in the pathlib reference?",True,"In Python 3.11, glob() and rglob() return only directories when the pattern ends with a pathname component separator (sep or altsep). The pathlib reference documents this as a behavior changed in version 3.11.","[{""version"": ""py311"", ""source"": ""whatsnew/3.11.html"", ""chunk_id"": ""py311_whatsnew_3.11_020""}, {""version"": ""py311"", ""source"": ""library/pathlib.html"", ""chunk_id"": ""py311_library_pathlib_015""}]","**What changed in 3.11**

Starting with Python 3.11 the `Path.glob()` (and `Path.rglob()`) methods use the same pattern‑matching rules as the standard‑library `glob` module. In practice this means:

* `**` now works recursively **and** includes hidden files/directories when the pattern itself can match them (e.g., `**/.*` or `**/*.py` will also return “dot‑files” inside the tree).  
* The matching is now case‑sensitive on case‑sensitive filesystems and case‑insensitive on case‑insensitive ones, exactly like `glob.glob`.  
* The order of results is guaranteed to be lexical (sorted) rather than the arbitrary order that some older implementations produced.

**Where it’s documented**

The change is recorded in the official pathlib reference under the `Path.glob()` (and `Path.rglob()`) entries:

* **Path.glob()** – “The pattern is interpreted using the same rules as `glob.glob()` … `**` matches any files and zero or more directories, including hidden ones when the pattern can match them.”  
* **Path.rglob()** – same note, referencing the `glob` module’s semantics.

See the pathlib docs: <https://docs.python.org/3/library/pathlib.html#pathlib.Path.glob> (the “Pattern syntax” note). This section now explicitly mentions the alignment with `glob.glob()` behavior introduced in Python 3.11.",4.41,"In Python 3.11 the glob‑related methods were altered so that **if the pattern ends with a pathname‑separator ( `sep` or `altsep` ), only directory entries are yielded**.  

This change is recorded in the pathlib reference in the notes for both `Path.glob()` and `Path.rglob()`, where the entry reads:

*“Changed in version 3.11: Return only directories if pattern ends with a pathname components separator (sep or altsep).”*【py311_library_pathlib_010】【py311_library_pathlib_015】","[""py311_library_pathlib_015"", ""py311_library_pathlib_010"", ""py312_library_pathlib_015""]","[0.2959, 0.4189, 0.4189]",0.026,19.797,24.233
q14,multi_document,How do the Python 3.11 documentation's asyncio and pathlib pages illustrate two different kinds of standard-library functionality?,True,"asyncio provides high-level asynchronous and concurrent programming APIs, while pathlib provides object-oriented filesystem path handling. They address different problem domains within the standard library.","[{""version"": ""py311"", ""source"": ""library/asyncio.html"", ""chunk_id"": ""py311_library_asyncio_000""}, {""version"": ""py311"", ""source"": ""library/pathlib.html"", ""chunk_id"": ""py311_library_pathlib_000""}]","The two pages showcase opposite ends of what the standard library can provide:

* **`asyncio`** – a **framework‑style** module. Its documentation walks you through the event‑loop model, coroutines, tasks, futures, transports and protocols. It shows how to build *concurrent, non‑blocking* programs by composing asynchronous primitives.

* **`pathlib`** – an **object‑oriented convenience wrapper**. Its docs present a simple class hierarchy (`Path`, `PurePath`, etc.) that lets you treat filesystem paths as objects with methods for navigation, inspection, and I/O. It illustrates a *high‑level, ergonomic* API for everyday file‑system work.

Together they demonstrate that the standard library offers both **complex, infrastructure‑level functionality** (asyncio’s async‑programming model) and **lightweight, domain‑specific utilities** (pathlib’s path manipulation).",4.473,I don't have enough information in the provided context to answer this.,"[""py312_whatsnew_3.12_000"", ""py311_reference_import_030"", ""py312_reference_import_028""]","[0.4292, 0.4722, 0.4722]",0.025,12.235,16.733
q15,version_sensitive,"Was distutils part of the standard library in Python 3.11, and what happened to it in Python 3.12?",True,Python 3.11 documented the entire distutils package as pending removal in Python 3.12. Python 3.12 removed distutils from the standard library.,"[{""version"": ""py311"", ""source"": ""whatsnew/3.11.html"", ""chunk_id"": ""py311_whatsnew_3.11_043""}, {""version"": ""py312"", ""source"": ""whatsnew/3.12.html"", ""chunk_id"": ""py312_whatsnew_3.12_002""}]","Yes. `distutils` was still included in the Python 3.11 standard library, but it had been deprecated for a few releases. In Python 3.12 the module was removed entirely from the standard library; projects are now expected to use alternatives such as **setuptools**, **wheel**, or **flit** for building and installing packages.",3.112,"Yes. In Python 3.11 the distutils module was still included in the standard library, but in Python 3.12 it was removed (the package was deprecated in 3.10 and then eliminated from the stdlib in 3.12)【py312_whatsnew_3.12_042】.","[""py312_whatsnew_3.12_000"", ""py312_whatsnew_3.12_042"", ""py311_whatsnew_3.11_039""]","[0.2834, 0.402, 0.4066]",0.022,8.113,11.247
q16,version_sensitive,What major restriction on f-string expressions was removed in Python 3.12 compared with Python 3.11?,True,"Python 3.12 formalized f-strings with PEP 701 and removed several restrictions: expressions can use the same quote as the enclosing f-string, span multiple lines, contain comments and backslashes, and use unicode escape sequences.","[{""version"": ""py312"", ""source"": ""whatsnew/3.12.html"", ""chunk_id"": ""py312_whatsnew_3.12_004""}]","The ban on using backslashes inside the expression part of an f‑string was lifted—Python 3.12 now permits backslashes in f‑string expressions, a restriction that existed in 3.11.",6.243,I don't have enough information in the provided context to answer this.,"[""py312_whatsnew_3.12_000"", ""py312_library_json_007"", ""py312_whatsnew_3.12_006""]","[0.3673, 0.3924, 0.4091]",0.032,14.368,20.643
q17,version_sensitive,"What new standard-library module was introduced in Python 3.11 for parsing TOML, and is the same change described as a new module in the Python 3.12 release highlights?",True,Python 3.11 introduced tomllib for parsing TOML. Python 3.12's release notes describe the release as compared with 3.11 and do not introduce tomllib as a new module; it was already present.,"[{""version"": ""py311"", ""source"": ""whatsnew/3.11.html"", ""chunk_id"": ""py311_whatsnew_3.11_011""}]","The new standard‑library module is **`tomllib`**, added in Python 3.11 for parsing TOML. The Python 3.12 release highlights also list `tomllib` as a newly‑added module.",0.796,"The new standard‑library module added in Python 3.11 for parsing TOML is **`tomllib`** — listed under “New standard library modules” in the 3.11 release notes [py311_whatsnew_3.11_000].

The Python 3.12 release highlights do not mention `tomllib` as a new module; the 3.12 summary lists other changes but makes no reference to a TOML‑parsing module [py312_whatsnew_3.12_000].","[""py311_whatsnew_3.11_000"", ""py312_whatsnew_3.12_000"", ""py311_whatsnew_3.11_043""]","[0.3102, 0.4286, 0.5035]",0.025,15.026,15.847
q18,version_sensitive,How did Python 3.12 change f-string error reporting compared with Python 3.11?,True,"Python 3.12 parses f-strings with the PEG parser, producing more precise error messages that show the exact location in the full line rather than the older artificially parenthesized expression location.","[{""version"": ""py312"", ""source"": ""whatsnew/3.12.html"", ""chunk_id"": ""py312_whatsnew_3.12_006""}]","**Python 3.12 vs. 3.11 – f‑string error reporting**

| Aspect | Python 3.11 | Python 3.12 |
|--------|-------------|-------------|
| **Location of the error** | The traceback pointed to the *whole* f‑string literal, making it hard to see which sub‑expression caused the failure. | The compiler now highlights the **exact sub‑expression** (or brace) that triggered the syntax error, so you can spot the problem instantly. |
| **Message clarity** | Generic messages such as “invalid syntax” or “f‑string: unexpected ‘}’”. | More descriptive diagnostics, e.g. “f‑string: unmatched ‘}’ at position 12” or “f‑string expression cannot contain assignment”. |
| **Back‑slash handling** | Back‑slashes inside the literal part of an f‑string produced a vague “invalid syntax” error. | The parser now reports “f‑string: backslashes are not allowed in literal parts” and points to the offending back‑slash. |
| **Invalid expressions** | Errors like using a statement (`if`, `for`, `await`) inside `{}` were reported as generic syntax errors. | The error now reads “f‑string expression cannot contain assignment expression” or “cannot use ‘await’ outside a coroutine”, with the offending code underlined. |
| **Nested braces** | Mis‑matched braces often resulted in “unterminated string” or “unexpected ‘}’” without context. | The new diagnostics show the exact brace that is unmatched and the surrounding text. |
| **Debugging aid** | No visual cue in the source line. | The error message includes a caret (`^`) under the problematic character inside the f‑string, similar to normal syntax errors. |

**In short:** Python 3.12 makes f‑string syntax errors much more precise—both in *where* the error is highlighted and in *what* the message says—while Python 3.11 only gave a coarse “invalid syntax” pointing to the whole string. This change greatly speeds up debugging of malformed f‑strings.",2.12,"In Python 3.12 f‑strings are parsed with the new PEG parser, which lets the interpreter give a much more precise syntax error. The error now points to the exact characters that are wrong and shows the full line of code, without wrapping the offending expression in extra parentheses.  

By contrast, in Python 3.11 the f‑string syntax error only highlighted a small part of the line, omitted the exact location, and displayed the expression surrounded by parentheses.  

Thus, Python 3.12’s f‑string error messages are more accurate and easier to read than those in Python 3.11. [py312_whatsnew_3.12_006]","[""py312_whatsnew_3.12_000"", ""py312_whatsnew_3.12_006"", ""py312_library_json_007""]","[0.3855, 0.3926, 0.4138]",0.02,18.622,20.762
q19,unanswerable,What was the exact worldwide number of Python developers in 2026?,False,,[],I’m not aware of an exact worldwide count of Python developers for 2026.,0.966,I don't have enough information in the provided context to answer this.,"[""py311_whatsnew_3.11_000"", ""py311_library_typing_058"", ""py311_whatsnew_3.11_048""]","[0.5893, 0.5927, 0.5952]",0.021,11.254,12.241
q20,unanswerable,What was Python's exact market share among programming languages in 2026?,False,,[],"I’m sorry, but I don’t have information on Python’s market share for 2026.",2.924,I don't have enough information in the provided context to answer this.,"[""py311_whatsnew_3.11_031"", ""py311_whatsnew_3.11_032"", ""py311_whatsnew_3.11_033""]","[0.5595, 0.5697, 0.5713]",0.022,10.917,13.863
q21,unanswerable,What is the current price of a Python Software Foundation membership?,False,,[],The Python Software Foundation’s standard **individual membership costs $30 per year**. (The PSF also offers other tiers—Supporting membership at $100 per year and Corporate membership at $200 per year.),2.16,I don't have enough information in the provided context to answer this.,"[""py311_whatsnew_3.11_031"", ""py312_library_sys_040"", ""py311_library_sys_026""]","[0.6721, 0.6946, 0.6946]",0.031,13.126,15.317
q22,unanswerable,Which GPU model does the Python documentation recommend for training a large language model?,False,,[],"The official Python documentation does not recommend any specific GPU model for training large language models. It focuses on the language itself and leaves hardware choices (such as which GPU to use) up to the user and the libraries they employ (e.g., PyTorch, TensorFlow).",2.007,I don't have enough information in the provided context to answer this.,"[""py311_whatsnew_3.11_000"", ""py312_whatsnew_3.12_027"", ""py311_whatsnew_3.11_031""]","[0.623, 0.6257, 0.6312]",0.025,15.293,17.325
q23,distractor,"According to the asyncio documentation, what is the current stock price of NVIDIA?",False,,[],"I’m sorry, but I can’t provide that information.",2.164,I don't have enough information in the provided context to answer this.,"[""py311_library_sys_033"", ""py312_whatsnew_3.12_015"", ""py311_library_sys_019""]","[0.675, 0.6855, 0.7439]",0.026,13.105,15.295
q24,distractor,The pathlib documentation discusses filesystem paths. What is the population of the city where the Python Software Foundation is headquartered?,False,,[],"The Python Software Foundation is headquartered in **Beaverton, Oregon**, which has a population of roughly **107 000 people** (2020 Census figure).",0.987,I don't have enough information in the provided context to answer this.,"[""py312_library_pathlib_000"", ""py311_library_pathlib_000"", ""py311_library_pathlib_009""]","[0.4312, 0.4347, 0.4479]",0.022,15.495,16.504
